MMETSP.Strain,Doubling.Time,OGT,Source,GenomeOrTranscriptome,Source.Link,Source.DOI
Chaetoceros deflandrei,15.99570417,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros densus,53.66300753,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros diadema,17.51108667,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros diadema ,17.51108667,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros dichaeta,26.83150376,1.5,"Rose and Caron, 2007; [119]",MMETSP1447,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros didymus,15.54722648,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros furcellatus,33.95006599,-0.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros gracilis,8.801868959,25,"Rose and Caron, 2007; [119]","MMETSP0754,MMETSP0752,MMETSP0751,MMETSP0753",,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros simplex,6.931471806,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros sp.,3.780802803,29,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros sp. ,27.72588722,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros teres,13.74837383,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chaetoceros tortissimus,16.97503299,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chilodonella uncinata,10.66380278,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlamydomonas alpina,11.71516362,12.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlamydomonas globosa,9.140402381,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlamydomonas intermedia,10.52881793,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlamydomonas subcaudata,12.32261654,12.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlorella ellipsoidea,9.615914644,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlorella pyrenoidosa,2.944342006,39.2,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlorella sp.,8.848687411,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chlorella vulgaris,13.86294361,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Chroomonas salina,7.232840145,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Clydonella rosenfieldi,12.41457637,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cochliopodium minus,7.232840145,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coelastrum sp.,11.63323939,26,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Colpidium campylum,12.60267601,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Condylostoma arenarium,21.32760556,29,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Condylostoma patulum,44.9608982,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Corethron criophilum,7.493483033,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus centralis,22.4804491,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus concinnus,28.19581751,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus granii,23.76504619,30,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus jonesianus var. commutata,22.4804491,30,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus lacustris ,20.79441542,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus pavillardii,18.90401402,30,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus radiatus,20.04281004,30,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Coscinodiscus sp.,14.98696607,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cryptomonas erosa,20.04281004,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cryptomonas ovata,27.72588722,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cyclidium glaucoma,7.019211955,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cyclidium sp.,4.332169878,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cyclococcolinthinia leptopora,24.46401814,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cyclotella nana,7.048954379,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Cyptoperidiopsis sp.,75.61605606,23,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Dactylamoeba sp.,33.95006599,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Detonula confervacea,15.12321121,7,"Rose and Caron, 2007; [119]",MMETSP1058,,https://doi.org/10.4319/lo.2007.52.2.0886
Diophrys scutum,10.39720771,27,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Dissodinium lunula,72.32840145,24,"Rose and Caron, 2007; [119]",MMETSP0229,,https://doi.org/10.4319/lo.2007.52.2.0886
Ditylum brightwellii,12.60267601,24,"Rose and Caron, 2007; [119]","MMETSP1002,MMETSP1005,MMETSP1062,MMETSP1063",,https://doi.org/10.4319/lo.2007.52.2.0886
Dunaliella salina,47.53009238,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Dunaliella tertiolecta,9.241962407,25,"Rose and Caron, 2007; [119]","MMETSP1126,MMETSP1128,MMETSP1127",,https://doi.org/10.4319/lo.2007.52.2.0886
Emiliana huxleyi,8.575016667,24,"Rose and Caron, 2007; [119]","MMETSP1007,MMETSP1009,MMETSP1006,MMETSP1008,MMETSP0994,MMETSP0996,MMETSP0997,MMETSP0995,MMETSP1155,MMETSP1154,MMETSP1156,MMETSP1157,MMETSP1153,MMETSP1151,MMETSP1152,MMETSP1150",,https://doi.org/10.4319/lo.2007.52.2.0886
Entosiphon sulcatum,5.331901389,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Eucampia zodiacus,43.77771667,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Eucampia zoodiacus,17.51108667,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euglena gracilis,15.84336413,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euglena gracilis var. bacillaris,23.10490602,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes antarcticus,59.41261548,7.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes balteatus,3.30070086,29.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes crassus,6.654212933,23,"Rose and Caron, 2007; [119]",MMETSP1380,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes eurystomus,36.96784963,20,"Rose and Caron, 2007; [119]",,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes focardii,72.32840145,4,"Rose and Caron, 2007; [119]","MMETSP0205,MMETSP0206",,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes harpa,21.05763587,30,"Rose and Caron, 2007; [119]",MMETSP0213,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes minuta,5.639163503,23,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes sp.,27.72588722,22,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes trisulcatus,12.41457637,33,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes vannus,7.201529149,26,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Euplotes woodruffii,19.34364225,23,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Exuviella sp.,110.9035489,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Fabrea salina,23.43032723,20,"Rose and Caron, 2007; [119]",MMETSP1345,,https://doi.org/10.4319/lo.2007.52.2.0886
Favella azorica,6.931471806,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Favella ehrenbergii,31.99140833,15,"Rose and Caron, 2007; [119]",MMETSP0123,,https://doi.org/10.4319/lo.2007.52.2.0886
Favella sp.,17.15003333,21.1,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Favella taraikaensis,6.398281667,20,"Rose and Caron, 2007; [119]","MMETSP0436,MMETSP0434",,https://doi.org/10.4319/lo.2007.52.2.0886
Fragilariopsis kerguelensis,50.41070404,5,"Rose and Caron, 2007; [119]","MMETSP0906,MMETSP0909,MMETSP0907,MMETSP0908,MMETSP0734,MMETSP0735,MMETSP0736,MMETSP0733",,https://doi.org/10.4319/lo.2007.52.2.0886
Gephyrocapsa oceanica,10.02140502,24,"Rose and Caron, 2007; [119]","MMETSP1366,MMETSP1363,MMETSP1364,MMETSP1365",,https://doi.org/10.4319/lo.2007.52.2.0886
Glaseria mira,5.041070404,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Gonyaulax polyedra,24.10946715,24,"Rose and Caron, 2007; [119]","MMETSP1034,MMETSP1032,MMETSP1035,MMETSP1033",,https://doi.org/10.4319/lo.2007.52.2.0886
Gonyaulax tamarensis,34.65735903,20,"Rose and Caron, 2007; [119]","MMETSP0378,MMETSP0380,MMETSP0384,MMETSP0382",,https://doi.org/10.4319/lo.2007.52.2.0886
Guinardia flaccida,25.20535202,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Guinarida flaccida,61.61308272,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Gymnodinium catenatum,44.9608982,22,"Rose and Caron, 2007; [119]",MMETSP0784,,https://doi.org/10.4319/lo.2007.52.2.0886
Gymnodinium sp.,15.40327068,15,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Gyrodinium dominans,15.12321121,15,"Rose and Caron, 2007; [119]",MMETSP1148,,https://doi.org/10.4319/lo.2007.52.2.0886
Gyrodinium fusiforme,42.65521111,11,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Halteria sp.,12.14272433,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Hemiaulus hauckii,6.161308272,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Heterocapsa triquetra,19.57121451,17.6,"Rose and Caron, 2007; [119]",MMETSP0448,,https://doi.org/10.4319/lo.2007.52.2.0886
Holosticha sp,138.6294361,-2,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Hymenomonas carterae,9.615914644,24,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Hymenostome ciliate,4.620981204,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Isochrysis galbana,8.755543333,25,"Rose and Caron, 2007; [119]","MMETSP0944,MMETSP0943,MMETSP0595",,https://doi.org/10.4319/lo.2007.52.2.0886
Isochrysis sp.,4.753009238,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Jakoba libera,26.83150376,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Katodinium glaucum,127.9656333,11,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Keronopsis rubra,32.61869085,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Lacrymaria marina,38.6872845,15,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Lauderia annulata,9.728381482,16,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Leptocylindrus danicus,9.041050181,20,"Rose and Caron, 2007; [119]","MMETSP0321,MMETSP0322",,https://doi.org/10.4319/lo.2007.52.2.0886
Lithodesmium undulatum,24.10946715,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Litonotus lamella,9.785607255,23,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Lohmanniella spiralis,15.69389843,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Loxocephalus plagius,13.97943894,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Mayorella sp.,87.55543333,-2,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Melosira juergensii ,18.48392481,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Melosira moniliformis,34.65735903,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Melosira monoliformis,20.28723455,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Melosira nummuloides,38.6872845,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Metachaos sp.,79.21682064,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Monas sp.,5.041070404,23.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Monochrysis lutheri,9.090454827,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Monosiga ovata,9.506018476,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Monosiga sp. ,5.776226505,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nannochloris sp.,5.545177444,31.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Navicula arenaria,16.63553233,16,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Navicula comoides,31.99140833,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Navicula minima,24.82915274,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Navicula sp.,14.72171003,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Navicula transitans ,36.96784963,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia actinastroides,8.075501133,23,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia cylindrus,19.34364225,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia delicatissima,33.27106467,-0.5,"Rose and Caron, 2007; [119]","MMETSP0327,MMETSP1432",,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia dissipata,9.506018476,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia frigida ,41.58883083,0.066666667,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia grunowii,29.70630774,-0.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia kerguelensis,21.32760556,4,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia palea,16.47082409,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia seriata,30.24642242,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia seriata ,29.18514444,10,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia sigma,38.6872845,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia sp. ,63.98281667,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia turgiduloides,23.43032723,3,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Nitzschia vanhoeffenii,32.61869085,-0.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Noctiluca scintillans,27.27136448,20,"Rose and Caron, 2007; [119]",MMETSP0253,,https://doi.org/10.4319/lo.2007.52.2.0886
Ochromonas sp.,3.85081767,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Olisthodiscus luteus,19.80420516,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Oxyrrhis marina,19.12130153,15,"Rose and Caron, 2007; [119]","MMETSP0044,MMETSP0471,MMETSP0469,MMETSP0470,MMETSP0468,MMETSP0451,MMETSP1426,MMETSP1424,MMETSP1425",,https://doi.org/10.4319/lo.2007.52.2.0886
Paraflabellula reniformis,17.32867951,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Paramecium aurelia,17.32867951,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Paramecium bursaria,20.28723455,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Paraphysomonas bandaiensis,13.86294361,18,"Rose and Caron, 2007; [119]",MMETSP1103,,https://doi.org/10.4319/lo.2007.52.2.0886
Paraphysomonas imperforata,2.772588722,20,"Rose and Caron, 2007; [119]","MMETSP0104,MMETSP0103",,https://doi.org/10.4319/lo.2007.52.2.0886
Paraphysomonas sp.,3.024642242,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Paraphysomonas vestita,3.30070086,20,"Rose and Caron, 2007; [119]",MMETSP1107,,https://doi.org/10.4319/lo.2007.52.2.0886
Paratetrahymena wassi,7.426576935,34,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Parauronema acutum,6.349439822,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Pavlova lutheri,6.931471806,25,"Rose and Caron, 2007; [119]",MMETSP1463,,https://doi.org/10.4319/lo.2007.52.2.0886
Pelagostrombidium fallax,18.48392481,21.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Pfiesteria piscicida,21.32760556,23,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Phaeocystis pouchetii,23.43032723,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Phaeodactylum tricornutum,7.921682064,22,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Platyamoeba australis,41.58883083,2,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Platyamoeba sp.,11.1647868,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Polyedriella helvetica,31.38779686,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Porosira glacialis,39.60841032,-0.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Porosira glacialis ,17.51108667,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Porphyridium aerugineum,24.82915274,21,"Rose and Caron, 2007; [119]",MMETSP0313,,https://doi.org/10.4319/lo.2007.52.2.0886
Prorocentrum micans,18.48392481,24,"Rose and Caron, 2007; [119]",MMETSP0251,,https://doi.org/10.4319/lo.2007.52.2.0886
Pseudo-nitzschia pseudodelicatissima,7.048954379,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Pseudobalanion planctonicum,10.94442917,18.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Pseudonitzschia seriata,33.95006599,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Psuedobodo tremulans,5.331901389,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Psuedonitzschia seriata ,61.61308272,6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Pteridomonas danica,12.8957615,10,"Rose and Caron, 2007; [119]","MMETSP0101,MMETSP0102",,https://doi.org/10.4319/lo.2007.52.2.0886
Pyramimonas sp.,31.38779686,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Pyramimonas tychotreta ,36.96784963,4.6,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizamoeba sp.,30.24642242,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia alata f. indica,23.76504619,20,"Rose and Caron, 2007; [119]","MMETSP0174,MMETSP0176",,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia fragilissima,19.80420516,21.5,"Rose and Caron, 2007; [119]",MMETSP0580,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia hebetata,48.92803627,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia imbricata,15.40327068,30,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia robusta,25.99301927,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia setigera,20.04281004,12,"Rose and Caron, 2007; [119]",MMETSP0789,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia stolterfothii,17.15003333,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rhizosolenia truncata,36.96784963,0,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rimostrombidium caudatum,27.27136448,15,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Rimostrombidium veniliae,15.69389843,15,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Saccamoeba limax,7.561605606,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Scenedesmus obliquus,15.84336413,25,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Scenedesmus quadricauda,7.2644246,27,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Scuticociliate,2.376504619,18,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Selenastrum capricornutum,6.790013197,27,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Skeletonema costatum,4.794101537,20,"Rose and Caron, 2007; [119]",MMETSP0013,,https://doi.org/10.4319/lo.2007.52.2.0886
Spirostomum teres,83.17766167,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Spumella sp.,3.465735903,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Stellarima microtrias,19.57121451,4,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Stentor polymorphus,42.65521111,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Stephanoeca diplocostata,13.09884436,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Stephanopyxis palmeriana,21.05763587,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Stereomyxa ramosa,43.77771667,15,"Rose and Caron, 2007; [119]",MMETSP0439,,https://doi.org/10.4319/lo.2007.52.2.0886
Streptotheca tamesis,10.94442917,24,"Rose and Caron, 2007; [119]",MMETSP1171,,https://doi.org/10.4319/lo.2007.52.2.0886
Strobilidium gyrans,19.12130153,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strobilidium lacustris,11.71516362,21.5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strobilidium neptuni,11.09035489,16,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strobilidium veniliae,23.10490602,16,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strombidinopsis acuminatum,21.60458745,13,"Rose and Caron, 2007; [119]",MMETSP0126,,https://doi.org/10.4319/lo.2007.52.2.0886
Strombidinopsis sp.,17.51108667,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strombidium capitatum,20.04281004,16,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strombidium reticulatum,19.34364225,12,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strombidium sp.,5.454272896,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Strombidium sulcatum,6.931471806,20,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
Synedra sp.,29.70630774,5,"Rose and Caron, 2007; [119]",NA,,https://doi.org/10.4319/lo.2007.52.2.0886
